id,locale,product_id,name,full_name,short_name
1001,zh_Hant,1001,招牌便當,招牌潤餅便當,招
1002,zh_Hant,1002,雞胸便當,清蒸嫰雞胸便當,胸
1003,zh_Hant,1003,雞腿便當,傳香滷雞腿便當,腿
1004,zh_Hant,1004,滷牛便當,家常厚滷牛便當,牛
1005,zh_Hant,1005,經濟盒餐,經濟盒餐,經
1006,zh_Hant,1006,會議盒餐,會議盒餐,會
1007,zh_Hant,1007,貴賓盒餐,貴賓盒餐,貴
1008,zh_Hant,1008,首席盒餐,首席盒餐,首
1009,zh_Hant,1009,單點潤餅,單點潤餅,單
1010,zh_Hant,1010,薯泥潤餅6吋,薯泥素鬆潤餅6吋,薯泥
1011,zh_Hant,1011,炸蝦潤餅6吋,沙拉炸蝦潤餅6吋,炸蝦
1012,zh_Hant,1012,炒雞潤餅6吋,香辣炒雞潤餅6吋,炒雞
1013,zh_Hant,1013,酥魚潤餅6吋,香炸酥魚潤餅6吋,酥魚
1014,zh_Hant,1014,培根潤餅6吋,香烤培根潤餅6吋,培根
1015,zh_Hant,1015,滷肉潤餅6吋,媽手滷肉潤餅6吋,滷肉
1016,zh_Hant,1016,微豆,微甜八度濃漿,微豆
1017,zh_Hant,1017,無豆,無糖八度濃漿,無豆
1018,zh_Hant,1018,紅茶,古早紅茶,紅茶
1019,zh_Hant,1019,奶茶,古早奶茶,奶茶
1020,zh_Hant,1020,濃湯,蕃茄濃湯,濃湯
1021,zh_Hant,1021,甜湯,綠豆甜湯,甜湯
1022,zh_Hant,1022,嫩雞胸,清蒸嫩雞胸,雞胸
1023,zh_Hant,1023,滷雞腿,滷雞腿,雞腿
1024,zh_Hant,1024,滷牛腱,滷牛腱,牛腱
1025,zh_Hant,1025,地瓜,地瓜薯薯,地瓜
1026,zh_Hant,1026,蛋塔,手作蛋塔,蛋塔
1027,zh_Hant,1027,酥餅,香蔥酥餅,酥餅
1028,zh_Hant,1028,雞翅,香滷雞翅,雞翅
1029,zh_Hant,1029,湯圓,湯圓,湯圓
1030,zh_Hant,1030,水果,水果,水果
1031,zh_Hant,1031,梅汁番茄,梅汁番茄,番茄
1032,zh_Hant,1032,鹽水煮蛋,鹽水煮蛋,水煮蛋
1033,zh_Hant,1033,蒜香時蔬,蒜香時蔬,時蔬
1034,zh_Hant,1034,酸炸菇菇,酸炸菇菇,菇菇
1035,zh_Hant,1035,香滷豆干,香滷豆干,豆干
1036,zh_Hant,1036,香菇油飯,香菇油飯,油飯
1037,zh_Hant,1037,薯泥潤餅3吋,薯泥素鬆潤餅3吋,薯泥
1038,zh_Hant,1038,炸蝦潤餅3吋,沙拉炸蝦潤餅3吋,炸蝦
1039,zh_Hant,1039,炒雞潤餅3吋,香辣炒雞潤餅3吋,炒雞
1040,zh_Hant,1040,酥魚潤餅3吋,香炸酥魚潤餅3吋,酥魚
1041,zh_Hant,1041,培根潤餅3吋,香烤培根潤餅3吋,培根
1042,zh_Hant,1042,滷肉潤餅3吋,媽手滷肉潤餅3吋,滷肉
1043,zh_Hant,1043,客製便當,客製便當,客便
1044,zh_Hant,1044,客製盒餐,客製盒餐,客盒
1045,zh_Hant,1045,客製其它,客製其它,客它
1046,zh_Hant,1046,蛋素經濟盒餐,蛋素經濟盒餐,蛋素經
1047,zh_Hant,1047,蛋素會議盒餐,蛋素會議盒餐,蛋素會
1048,zh_Hant,1048,蛋素貴賓盒餐,蛋素貴賓盒餐,蛋素貴
1049,zh_Hant,1049,蛋素首席盒餐,蛋素首席盒餐,蛋素首
1050,zh_Hant,1050,蛋素招牌便當,蛋素招牌便當,蛋素招
1051,zh_Hant,1051,全素經濟盒餐,全素經濟盒餐,全素經
1052,zh_Hant,1052,全素會議盒餐,全素會議盒餐,全素會
1053,zh_Hant,1053,全素貴賓盒餐,全素貴賓盒餐,全素貴
1054,zh_Hant,1054,全素首席盒餐,全素首席盒餐,全素首
1055,zh_Hant,1055,全素招牌便當,全素招牌便當,全素招
1056,zh_Hant,1056,全素潤餅6吋,全素薯泥素鬆潤餅6吋,全素薯
1057,zh_Hant,1057,全素潤餅3吋,全素薯泥素鬆潤餅3吋,全素薯
1058,zh_Hant,1058,蛋素潤餅6吋,蛋素薯泥素鬆潤餅6吋,蛋素薯
1059,zh_Hant,1059,蛋素潤餅3吋,蛋素薯泥素鬆潤餅3吋,蛋素薯
1060,zh_Hant,1060,環保袋(小),環保袋(小),環保袋(小)
1061,zh_Hant,1061,環保袋(大),環保袋(大),環保袋(大)
1062,zh_Hant,1062,其它商品組,其它商品組,其它商品組
